#
Diagonal de la pantalla;6.15
Tecnología de la pantalla;IPS
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;3
Número de cámaras frontales;1
Resolución de la cámara trasera;48 + 8 + 2MP
Resolución de la cámara frontal;24MP
Flash integrado;Sí
Grabación de vídeo;1080@30fps
Sensores;Giroscopio | Brújula | Sensor de Proximidad | Barómetro
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;6899981
EAN;6901443290857
Marca;HUAWEI
Modelo;P30 Lite
Garantía;2 años
Color;Azul
Peso;159 g
Altura;15.3
Ancho;7.3
Profundidad;0.74
RAM;4 GB
Memoria interna;128 GB
Memoria externa;hasta 512GB
Potencia de la batería;3340 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cargador | Cable USB-C | Auriculares 3.5 mm
Más información;NFC | OTG | EMUI 9.1 | Cargamento Rapido | HDR
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-huawei-p30-lite-6-15-4-gb-128-gb-azul-6899981
#
imagen;https://www.worten.es//i/cbc5971dd9d286c87671ba937540752a608788b3.jpg
nombre;iPhone 11 APPLE (6.1'' - 128 GB - Blanco)
precio;829,99
Sistema operativo;iOS
Versión del sistema operativo;13
Procesador;A13 Bionic
Tarjetas;SIM1
Radio;No
Diagonal de la pantalla;6.1
Tecnología de la pantalla;Retina
Resolución de la pantalla;HD 720p
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;2
Número de cámaras frontales;1
Resolución de la cámara trasera;12 + 12 MP
Resolución de la cámara frontal;12 MP
Flash integrado;Sí
Grabación de vídeo;4K@60fps
Sensores;NFC, Acelerómetro, sensor de luz ambiental, sensor de proximidad, giroscopio, brújula digital, barómetro
Sensor de huellas dactilares;No
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7016627
EAN;0190199223721
Marca;APPLE
Modelo;iPhone 11
Garantía;2 años
Color;Blanco
Peso;194 g
Altura;15.1
Ancho;7.6
Profundidad;0.83
RAM;4 GB
Memoria interna;128 GB
Memoria externa;Cloud
Potencia de la batería;3110 mAh
Entrada del cargador;Lightning
Contenido extra incluido en la caja;Transformador eléctrico, cable Lightning, Apple EarPods con conector Lightning
Más información;IP68 - hasta 2m por 30min
url;https://www.worten.es/productos/moviles-smartphones/smartphones/iphone-11-apple-6-1-128-gb-blanco-7016627
#
imagen;https://www.worten.es//i/e30d28b6d4f2964c3c045788f4750f472b2ca41e.jpg
nombre;iPhone XR APPLE (6.1'' - 3 GB - 64 GB - Blanco)
precio;709,99
Sistema operativo;iOS
Versión del sistema operativo;iOS 12
Procesador;Chip A12 Bionic
Núcleos;Hexa-Core
Velocidad del procesador;2x Vortex + 4x Tempest
Tarjetas;SIM1
Radio;No
Diagonal de la pantalla;6.1'' (15.494 cm)
Tecnología de la pantalla;Retina
Resolución de la pantalla;HD 720p
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;1
Número de cámaras frontales;1
Resolución de la cámara trasera;12 Mpx
Resolución de la cámara frontal;7 Mpx
Flash integrado;Sí
Grabación de vídeo;4K a 24, 30 o 60 f/s
Sensores;Face ID. Barómetro. Giroscopio de tres ejes. Acelerómetro. Sensor de proximidad. Sensor de luz ambiental. NFC.
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;6727201
EAN;0190198770844
Marca;APPLE
Modelo;iPhone XR
Garantía;1 año
Color;Blanco
Peso;194 g
Altura;15.09 cm
Ancho;7.57 cm
Profundidad;0.83 cm
RAM;3 GB
Memoria interna;64 GB
Memoria externa;Sin ranura
